MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','SGML','Shakargang Sugar Mills Ltd.','READY',22.218,20.102,21.16
'REG','PICL','Pakistan Industrial & Comm.Lea.','READY',1.1,.01,.1
'REG','ACPL','Attock Cement Pak Ltd.','READY',151.2105,136.8095,144.01
'REG','BYCO','BYCO Petroleum Pak Ltd.','READY',10.2,8.2,9.2
'REG','DYNO','DYNEA Pak.','READY',48.1215,43.5385,45.83
'REG','SRVI','Service Industries.','READY',591.465,535.135,563.3
'REG','ZIL','ZIL Limited.','READY',115.5,104.5,110
'REG','WAPDA-B6','Wapda Bond 6th','READY',1,.01,0
'REG','NIB','NIB Bank Limited','READY',3.53,1.53,2.53
'REG','OGDC','Oil & Gas Development Company Ltd.(XD)','READY',299.5755,271.0445,285.31
'REG','MACFL','MACPAC Films Limited.','READY',22.1025,19.9975,21.05
'REG','PRIC','Progressive Insurance Co Ltd.','READY',2.13,.13,1.13
'REG','PIF','PICIC Investment Fund.','READY',12.98,10.98,11.98
'REG','PIOCR','Pioneer Cement Ltd.(R)',170,1,.01,0
'REG','ANLPS','Azgard Nine (Pref)','READY',10.8,8.8,9.8
'REG','PPL','Pakistan Petroleum Limited.','READY',230.307,208.373,219.34
'REG','DSL','Dost Steels Ltd.','READY',6.48,4.48,5.48
'REG','TREET','Treet Corporation Ltd.','READY',113.526,102.714,108.12
'REG','SGLLR','Shell Gas LPG (Pakiatan) Ltd.(R)',170,1,.01,0
'REG','IFSL','Invest & Finance Securuties Ltd.','READY',15.21,13.21,14.21
'REG','SMBL','Summit Bank Limited.','READY',3.63,1.63,2.63
'REG','DEL','Dawood Equities Ltd.','READY',4.13,2.13,3.13
'REG','ANLNV','Azgard Nine. (Non-Voting)','READY',8,6,7
'REG','AMBL','Apna Microfinance Bank Limited.','READY',10.99,8.99,9.99
'REG','JSGCL','JS Global Capital Limited.','READY',37.695,34.105,35.9
'REG','TCLTC','Treet Corporation Ltd.(PTCs)','READY',54.3375,49.1625,51.75
'REG','NETSOL','NetSol Technologies Ltd.','READY',47.502,42.978,45.24
'REG','WTL','Worldcall Telecom Ltd.','READY',3.69,1.69,2.69
'REG','DSIL','D. S. Industries Ltd.','READY',6.6,4.6,5.6
'REG','STPL','Siddiqsons Tin Plate Ltd.','READY',10.24,8.24,9.24
'REG','BOK','The Bank of Khyber.(XB)','READY',9.1,7.1,8.1
'REG','CML','Colony Mills Limited.','READY',6.9,4.9,5.9
'REG','BIPL','Bankislami Pakistan Ltd.','READY',8.08,6.08,7.08
'REG','PIL','PICIC Insurance Ltd.','READY',10.8,8.8,9.8
'REG','PSMC','Pak Suzuki Motors Co Ltd.','READY',172.4625,156.0375,164.25
'REG','CHCC','Cherat Cement Co. Ltd.','READY',71.694,64.866,68.28
'REG','BIFO','Bifo Industries Ltd.','READY',109.2,98.8,104
'REG','JOPP','Johnson & Philips (Pak) Ltd.','READY',25.4625,23.0375,24.25
'REG','SSGC','Sui Southern Gas Co Ltd.','READY',25.536,23.104,24.32
'REG','SAZEW','Sazgar Engineering Works Ltd.','READY',22.575,20.425,21.5
'REG','MTIL','Mian Textile Industries Ltd.','READY',7.23,5.23,6.23
'REG','NMFL','Nirala MSR Foods Limited','READY',19.67,17.67,18.67
'REG','PUDF','Prudential Stock Fund.','READY',3.33,1.33,2.33
'REG','BRR','B.R.R. Guardian Modaraba.','READY',6.65,4.65,5.65
'REG','CSM','Cresent Standard Modaraba.','READY',3.01,1.01,2.01
'REG','SCM','Standard Chartered Modaraba.','READY',18.12,16.12,17.12
'REG','FHBM','First Habib Bank Modaraba.','READY',11.45,9.45,10.45
'REG','TRSM','Trust Mod.','READY',4.74,2.74,3.74
'REG','CPAL','Capital Assets Leasing Corp.','READY',7.12,5.12,6.12
'REG','PDGH','Prudential Discount & Guarante','READY',1.3,.01,.3
'REG','SIBL','Security Investment Bank Ltd.','READY',4.25,2.25,3.25
'REG','GRYL','Grays Leasing Ltd.','READY',7.19,5.19,6.19
'REG','OLPL','Orix Leasing Pakistan Ltd.','READY',26.145,23.655,24.9
'REG','KCORP','KASB Corporation Limited','READY',21.714,19.646,20.68
'REG','TRIBL','Trust Investment Bank Ltd.','READY',2.65,.65,1.65
'REG','AKBL','Askari Bank Limited.','READY',15.11,13.11,14.11
'REG','PGIC','Pakistan Gaurantee InsuranceCo','READY',5.75,3.75,4.75
'REG','PLIC','Platinium Insurance Co Ltd.','READY',3.99,1.99,2.99
'REG','IGIBL','IGI Investment Bank Ltd.','READY',2.8,.8,1.8
'REG','JUBS','Jubilee Spinning & Weaving Mil','READY',9,7,8
'REG','KHYT','Khyber Textile Mills Ltd.','READY',70.35,63.65,67
'REG','KTML','Kohinoor Textile Mills Ltd.','READY',29.9775,27.1225,28.55
'REG','ANL','Azgard Nine Limited','READY',9.06,7.06,8.06
'REG','MEHT','Mehmood Textile Mills Ltd.','READY',235.095,212.705,223.9
'REG','MFTM','Mohammed Farooq Textile Mills','READY',7.53,5.53,6.53
'REG','SFAT','Safa Textiles Ltd.','READY',16.04,14.04,15.04
'REG','STML','Shams Textile Mills Ltd.','READY',68.4495,61.9305,65.19
'REG','USMT','Usman Textile Mills Ltd.','READY',1.51,.01,.51
'REG','PRWM','Prosperity Weaving Mills Ltd.','READY',60.2385,54.5015,57.37
'REG','SDIL','Saleem Denim Industries Ltd.','READY',1.95,.01,.95
'REG','HABSM','Habib Sugar Mills Ltd.','READY',29.5155,26.7045,28.11
'REG','GHNI','Ghandhara Industries Ltd.','READY',20.23,18.23,19.23
'REG','BPL','Burshane LPG (Pakistan) Limited.','READY',44.226,40.014,42.12
'REG','MUKT','Mukhtar Textile Mills Limited','READY',1.71,.01,.71
'REG','SURC','Suraj Cotton Mills Ltd.','READY',141.75,128.25,135
'REG','ENGRO','Engro Corporation Limited.','READY',170.961,154.679,162.82
'REG','KOIL','Kohinoor Industries Ltd.','READY',6.4,4.4,5.4
'REG','PTC','Pakistan Telecommunication Co.','READY',31.416,28.424,29.92
'REG','BOP','Bank Of Punjab.',170,12.7,10.7,11.7
'REG','FFC','Fauji Fertilizer Co. Ltd.','READY',121.1595,109.6205,115.39
'REG','PAKL','Pak Leather Crafts Ltd.','READY',3.89,1.89,2.89
'REG','IDSM','Ideal Spinning Mills Ltd.','READY',24.8955,22.5245,23.71
'REG','ESBL','Escorts Investment Bank Ltd.','READY',4.53,2.53,3.53
'REG','JGICL','Jubilee General Insurance Co.Ltd.','READY',77.7,70.3,74
'REG','KML','Kohinoor Mills Ltd.','READY',20.04,18.04,19.04
'REG','UPFL','Unilever Pakistan Foods Ltd.','READY',9765,8835,9300
'REG','PLICR','Platinium Insurance Co Ltd.(R)',170,1,.01,0
'REG','BBIIIA','3 Years Bearer Bond Of US$ 100',170,48.6675,44.0325,46.35
'REG','BBIIIB','3 Years Bearer Bond Of US$ 100',170,57.225,51.775,54.5
'REG','BBIIIC','3 Years Bearer Bond Of US$ 100',170,48.615,43.985,46.3
'REG','BBIIID','3 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','BBVA','5 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','BBVB','5 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','BBVC','5 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','BBVD','5 Years Bearer Bond of US$100 ',170,48.3,43.7,46
'REG','BBVIIA','7 Years Bearer Bond Of US$ 100',170,49.455,44.745,47.1
'REG','BBVIIB','7 Years Bearer Bond Of US$ 100',170,49.455,44.745,47.1
'REG','BBVIIC','7 Years Bearer Bond Of US$ 100',170,54.8625,49.6375,52.25
'REG','BBVIID','7 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','NBP','National Bank Of Pakistan.','READY',61.6875,55.8125,58.75
'REG','ITSL','Investec Securities Ltd','READY',1.42,.01,.42
'REG','SGMLPS','Shakarganj (R.C.Pref) 8.5%.','READY',8.05,6.05,7.05
'REG','KASBB','KASB Bank Ltd.','READY',2.97,.97,1.97
'REG','SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.037,20.843,21.94
'REG','SALT','Salfi Textile Mills Ltd.','READY',220.5,199.5,210
'REG','TRG','TRG Pakistan Ltd.','READY',10.98,8.98,9.98
'REG','NPSM','N.P. Spinning Mills Ltd.','READY',18,16,17
'REG','NATM','Nadeem Textile Mills Ltd.(XR)','READY',25.536,23.104,24.32
'REG','NAZC','Nazir Cotton Mills Ltd.','READY',1.15,.01,.15
'REG','PRIB','Prudential Investment Bank','READY',5,3,4
'REG','RUBY','Ruby Textile Mills Ltd.','READY',17.89,15.89,16.89
'REG','SAIF','Saif Textile Mills Ltd.','READY',45.15,40.85,43
'REG','SJTM','Sajjad Textile Mills Ltd.','READY',11.9,9.9,10.9
'REG','SANE','Salman Noman Enterprises Ltd.','READY',10.09,8.09,9.09
'REG','SHCM','Shadman Cotton Mills Ltd.','READY',15.99,13.99,14.99
'REG','SZTM','Shahzad Textile Mills Ltd.','READY',43.68,39.52,41.6
'REG','SFTM','Sind Fine Textile Mills.','READY',8.05,6.05,7.05
'REG','EWIC','East West Ins. Co. Ltd.','READY',192.885,174.515,183.7
'REG','ATIL','Atlas Insurance Limited.','READY',66.57,60.23,63.4
'REG','SNBL','Soneri Bank Ltd.','READY',13.33,11.33,12.33
'REG','NALC','National Asset Leasing Corp. L','READY',1.1,.01,.1
'REG','PGLC','Pak Gulf Leasing Co Ltd.','READY',16,14,15
'REG','NSRM','The National Silk & Rayon Mills Ltd.','READY',22.008,19.912,20.96
'REG','ALNRS','Al-Noor Sugar Mills Ltd.','READY',44.625,40.375,42.5
'REG','FUDLM','First UDL Mod.','READY',15.68,13.68,14.68
'REG','ZAHT','Zahidjee Textile Mills Ltd.(XR)','READY',20.24,18.24,19.24
'REG','PINL','Premier Insurance Limited.','READY',8.78,6.78,7.78
'REG','STJT','Shahtaj Textile Ltd.','READY',57.246,51.794,54.52
'REG','OLSM','Olympia Spinning & Weaving.','READY',6.25,4.25,5.25
'REG','DSML','Dar-es-Salam Textile Mills Ltd','READY',10.99,8.99,9.99
'REG','GIL','Good Luck Industries Limited.','READY',523.95,474.05,499
'REG','BERG','Berger Paints Pakistan Ltd.','READY',73.6155,66.6045,70.11
'REG','KOHC','Kohat Cement Co. Ltd.','READY',102.837,93.043,97.94
'REG','LIBT','Libaas Textile Limited','READY',14.28,12.28,13.28
'REG','COTT','Colony Thal Textile Mills Ltd.','READY',5,3,4
'REG','ALICO','Amercian Life Ins Co.','READY',42.0105,38.0095,40.01
'REG','GWLC','Gharibwal Cement Ltd.','READY',19.94,17.94,18.94
