MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','FDMF','First Dawood Mutual Fund.','READY',8,6,7
'REG','SHEL','Shell Pakistan Ltd.','READY',223.3875,202.1125,212.75
'REG','FCSC','First Capital Sec.Corp. Ltd.','READY',4.41,2.41,3.41
'REG','NICL','Nimir Industrial Chemical Ltd.','READY',20.22,18.22,19.22
'REG','CHBL','Chenab Limited','READY',10.83,8.83,9.83
'REG','COLG','Colgate Palmolive (Pak) Ltd.','READY',1783.929,1614.031,1698.98
'REG','POAF','Pak Oman Advantage Fund.','READY',7.9,5.9,6.9
'REG','MQTM','Maqbool Textile Mills Ltd.','READY',38.808,35.112,36.96
'REG','ZTL','Zephyr Textile Limited.','READY',15.53,13.53,14.53
'REG','HMIM','Haji Mohammed Ismail Mills Lim','READY',6.68,4.68,5.68
'REG','CECL','The Climax Engineering Co. Ltd.','READY',20.85,18.85,19.85
'REG','OLTM','Olympia Textile Mills Ltd.','READY',15.86,13.86,14.86
'REG','INMF','Investec Mutual Fund','READY',1.17,.01,.17
'REG','BAFL','Bank Alfalah Ltd.','READY',29.3055,26.5145,27.91
'REG','IBLHL','IBL HealthCare Limited.','READY',87.675,79.325,83.5
'REG','NAFAGSLFO','NAFA Government Securities Liquid Fund','READY',11.0408,9.0408,10.0408
'REG','ADMM','Artistic Denim Mills Limited.','READY',115.1535,104.1865,109.67
'REG','EPCL','Engro Polymer & Chemicals Ltd.','READY',16.08,14.08,15.08
'REG','FCIBL','First Credit & Investment Bank Ltd.','READY',10.39,8.39,9.39
'REG','JSCLR','Jahangir Siddiqui & Company Ltd.(R)',170,1,.01,0
'REG','BMAECFO','BMA Empress Cash Fund.','READY',11.1926,9.1926,10.1926
'REG','AWTX','Allawasaya Tex. & Finishing Mills.','READY',349.944,316.616,333.28
'REG','FECM','First Elite Capital Mod.','READY',5.73,3.73,4.73
'REG','SUHJ','Sohail Jute Mills Ltd.','READY',14.25,12.25,13.25
'REG','AGSML','Abdullah Shaha Ghazi Suger Mills Ltd.','READY',8.65,6.65,7.65
'REG','BAFS','Baba Faried Sugar Mills Ltd.','READY',23.2575,21.0425,22.15
'REG','SLSO','Saleem Sugar Mills Ltd. (O)','READY',8,6,7
'REG','SLSOPVI','Saleem Sugar Mills Ltd. (P) 6%','READY',58.695,53.105,55.9
'REG','CHAS','Chashma Sugar Mills Ltd.','READY',12,10,11
'REG','IDEN','Ideal Energy Ltd.','READY',6.75,4.75,5.75
'REG','MZSM','Mirza Sugar Mills Ltd.','READY',5.05,3.05,4.05
'REG','PMRS','Premier Sugar Mills & Distille','READY',106.05,95.95,101
'REG','SANSM','Sanghar Sugar Mills Ltd.','READY',26.25,23.75,25
'REG','SHSML','Shahmurad Sugar Mills Ltd.(XD)','READY',21.546,19.494,20.52
'REG','TSML','Tandliawala Sugar Mills Ltd.','READY',88.2,79.8,84
'REG','TICL','Thal Industries Corporation Ltd.(XD)','READY',65.625,59.375,62.5
'REG','HSPI','Huffaz Seamless Pipe Industrie.','READY',26.5335,24.0065,25.27
'REG','KSBP','KSB Pumps Co Ltd.','READY',91.2975,82.6025,86.95
'REG','QUSW','Quality Steel Works Ltd.','READY',12,10,11
'REG','JVDC','Javedan Corporation Ltd.','READY',57.75,52.25,55
'REG','ZELP','Zeal Pak Cement Factory Ltd.','READY',1.44,.01,.44
'REG','PAKT','Pakistan Tobacco Co Ltd.','READY',696.4965,630.1635,663.33
'REG','CASS','Casspak Industries Ltd.','READY',1.5,.01,.5
'REG','PRL','Pakistan Refinery Ltd.','READY',83.349,75.411,79.38
'REG','CSAP','Crescent Steel & Allied Product.','READY',53.1195,48.0605,50.59
'REG','ABOT','Abbot Laboratories Pak Ltd.','READY',407.127,368.353,387.74
'REG','BUXL','Buxly Paints Ltd.','READY',24.255,21.945,23.1
'REG','ATBA','Atlas Battery Ltd.','READY',399.0105,361.0095,380.01
'REG','GTYR','General Tyre & Rubber Co.','READY',56.2065,50.8535,53.53
'REG','GNDL','Ghandhara Nissan Diesel Ltd.',170,1,.01,0
'REG','HINO','Hino Pak Motor Limeted.','READY',317.5305,287.2895,302.41
'REG','INDU','Indus Motor Company Ltd.','READY',391.65,354.35,373
'REG','MTL','Millat Tractor Ltd.','READY',476.9625,431.5375,454.25
'REG','LINDE','Linde Pakistan Limited.','READY',190.848,172.672,181.76
'REG','SING','Singer Pakistan Ltd.(XR)','READY',28.35,25.65,27
'REG','SIEM','Siemens (Pak) Eng. Co. Ltd.(XD)','READY',1352.4,1223.6,1288
'REG','PANI','Pan Islamic Steamship Co Ltd.','READY',4.95,2.95,3.95
'REG','PIAA','Pakistan International Airline','READY',10.37,8.37,9.37
'REG','MOIL','Morafco Industries','READY',11.25,9.25,10.25
'REG','POML','Punjab Oil Mills Ltd.','READY',139.65,126.35,133
'REG','FIBLM','First IBL Modaraba.','READY',4.99,2.99,3.99
'REG','HKKT','Hakkim Textile Mills Limited','READY',1.5,.01,.5
'REG','MOHE','Mohib Exports Ltd.','READY',1.15,.01,.15
'REG','PMI','First Prudential Mod.','READY',3.39,1.39,2.39
'REG','FIM','First Investec Modarba','READY',1.2,.01,.2
'REG','DLL','Dawood Lawrencepur Ltd.','READY',77.7105,70.3095,74.01
'REG','FSWL','Fateh Sports Wear Ltd.','READY',21.777,19.703,20.74
'REG','HATM','Hamid Textile Mills Limited','READY',1.97,.01,.97
'REG','TAJT','Taj Textile Mills Ltd.','READY',1.41,.01,.41
'REG','AYZT','Ayaz Textile Mills Ltd.','READY',1.2,.01,.2
'REG','GAIL','Ghani Automobile Industries Ltd.','READY',7,5,6
'REG','SCHT','Schon Textile Ltd.','READY',1.65,.01,.65
'REG','TOWL','Towellers  Ltd.','READY',16,14,15
'REG','ZHCM','Zahur Cotton Mills','READY',1.06,.01,.06
'REG','REWM','Reliance Weaving Mills Ltd.','READY',63.0945,57.0855,60.09
'REG','SDOT','Sadoon Textile Industries Ltd.','READY',1.85,.01,.85
'REG','SMTM','Samin Textiles Ltd.','READY',15.27,13.27,14.27
'REG','SERF','Service Fabrics Ltd.','READY',1.77,.01,.77
'REG','KAKL','Kaisar Arts & Krafts Ltd.','READY',1.55,.01,.55
'REG','MUBT','Mubarak Textile Mills Ltd.','READY',9.13,7.13,8.13
'REG','NML','Nishat Mills Ltd.','READY',140.847,127.433,134.14
'REG','DWSM','Dewan Sugar Mills Ltd.','READY',4.93,2.93,3.93
'REG','IBFL','Ibrahim Fibre Limited.','READY',97.3245,88.0555,92.69
'REG','DBCI','Dadabhoy Cement Industries Ltd','READY',9.42,7.42,8.42
'REG','DADX','Dadex Eternit Ltd.','READY',40.215,36.385,38.3
'REG','POWER','Power cement Limited','READY',8.35,6.35,7.35
'REG','TSBL','Trust Securities & Brokerage.','READY',3.51,1.51,2.51
'REG','SGFL','S .G. Fibre Ltd.','READY',132.3,119.7,126
'REG','HUSS','Husein Sugar Mills Limited','READY',14,12,13
'REG','UBDL','United Brands Limited.','READY',63.8505,57.7695,60.81
'REG','SHEZ','Shezan International Ltd.','READY',955.5,864.5,910
'REG','FIL','Fateh Industries Ltd.','READY',18.01,16.01,17.01
'REG','NCLR','Nishat (Chunia) Ltd.(R)',170,1,.01,0
'REG','JVDCR','Javedan Cement Ltd.(R)',170,1,.01,0
'REG','GGL','Ghani Gases Limited.','READY',32.34,29.26,30.8
'REG','DAWH','Dawood Hercules Corporation Ltd.','READY',69.048,62.472,65.76
