MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','BBIIID','3 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','BBVA','5 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','BBVB','5 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','BBVC','5 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','BBVD','5 Years Bearer Bond of US$100 ',170,48.3,43.7,46
'REG','BBVIIA','7 Years Bearer Bond Of US$ 100',170,49.455,44.745,47.1
'REG','BBVIIB','7 Years Bearer Bond Of US$ 100',170,49.455,44.745,47.1
'REG','BBVIIC','7 Years Bearer Bond Of US$ 100',170,54.8625,49.6375,52.25
'REG','BBVIID','7 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','NBP','National Bank Of Pakistan.','READY',61.8135,55.9265,58.87
'REG','ITSL','Investec Securities Ltd','READY',1.42,.01,.42
'REG','SGMLPS','Shakarganj (R.C.Pref) 8.5%.','READY',8.05,6.05,7.05
'REG','KASBB','KASB Bank Ltd.','READY',2.99,.99,1.99
'REG','SNGP','Sui Northern Gas Pipe Line Ltd.','READY',23.1315,20.9285,22.03
'REG','SALT','Salfi Textile Mills Ltd.','READY',224.868,203.452,214.16
'REG','TRG','TRG Pakistan Ltd.','READY',11.74,9.74,10.74
'REG','SGML','Shakargang Sugar Mills Ltd.','READY',20.97,18.97,19.97
'REG','PICL','Pakistan Industrial & Comm.Lea.','READY',1.1,.01,.1
'REG','ACPL','Attock Cement Pak Ltd.','READY',154.9275,140.1725,147.55
'REG','BYCO','BYCO Petroleum Pak Ltd.','READY',9.94,7.94,8.94
'REG','DYNO','DYNEA Pak.','READY',54.8415,49.6185,52.23
'REG','SRVI','Service Industries.','READY',585.27,529.53,557.4
'REG','ZIL','ZIL Limited.','READY',114.4395,103.5405,108.99
'REG','WAPDA-B6','Wapda Bond 6th','READY',1,.01,0
'REG','NIB','NIB Bank Limited','READY',3.37,1.37,2.37
'REG','OGDC','Oil & Gas Development Company Ltd.','READY',301.2765,272.5835,286.93
'REG','MACFL','MACPAC Films Limited.','READY',22.659,20.501,21.58
'REG','PRIC','Progressive Insurance Co Ltd.','READY',2.13,.13,1.13
'REG','PIF','PICIC Investment Fund.','READY',13.22,11.22,12.22
'REG','PIOCR','Pioneer Cement Ltd.(R)',170,1,.01,0
'REG','ANLPS','Azgard Nine (Pref)','READY',10.8,8.8,9.8
'REG','PPL','Pakistan Petroleum Limited.','READY',229.0995,207.2805,218.19
'REG','DSL','Dost Steels Ltd.','READY',5.99,3.99,4.99
'REG','TREET','Treet Corporation Ltd.','READY',127.281,115.159,121.22
'REG','SGLLR','Shell Gas LPG (Pakiatan) Ltd.(R)',170,1,.01,0
