MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','DINT','Din Textile Mills Ltd.(XB)','READY',157.5,142.5,150
'REG','GLAT','Glamour Textile Mills Ltd','READY',136.7625,123.7375,130.25
'REG','GSPM','Gulshan Spinning Mills Ltd.','READY',6.79,4.79,5.79
'REG','SUCM','Sunshine Cotton Mills Ltd.','READY',1.33,.01,.33
'REG','TATM','Tata Textile Mills Ltd.','READY',67.725,61.275,64.5
'REG','KOHTM','Kohat Textile Mills Ltd.','READY',23.4255,21.1945,22.31
'REG','KOSM','Kohinoor Spinning Mills Ltd.','READY',17.41,15.41,16.41
'REG','MDTM','Mehr Dastgir Textile Mills Ltd.','READY',2.5,.5,1.5
'REG','NPSM','N.P. Spinning Mills Ltd.','READY',27.384,24.776,26.08
'REG','NATM','Nadeem Textile Mills Ltd.(XR)','READY',31.017,28.063,29.54
'REG','NAZC','Nazir Cotton Mills Ltd.','READY',1.15,.01,.15
'REG','PRIB','Prudential Investment Bank','READY',5,3,4
'REG','RUBY','Ruby Textile Mills Ltd.','READY',17.02,15.02,16.02
'REG','SAIF','Saif Textile Mills Ltd.','READY',44.9925,40.7075,42.85
'REG','SJTM','Sajjad Textile Mills Ltd.','READY',14.9,12.9,13.9
'REG','SANE','Salman Noman Enterprises Ltd.','READY',12,10,11
'REG','SHCM','Shadman Cotton Mills Ltd.','READY',21.7245,19.6555,20.69
'REG','SZTM','Shahzad Textile Mills Ltd.','READY',46.2,41.8,44
'REG','SFTM','Sind Fine Textile Mills.','READY',8.1818,6.1818,7.1818
'REG','EWIC','East West Ins. Co. Ltd.','READY',192.885,174.515,183.7
'REG','ATIL','Atlas Insurance Limited.','READY',70.098,63.422,66.76
'REG','SNBL','Soneri Bank Ltd.','READY',13.5,11.5,12.5
'REG','NALC','National Asset Leasing Corp. L','READY',1.1,.01,.1
'REG','PGLC','Pak Gulf Leasing Co Ltd.','READY',16.28,14.28,15.28
'REG','NSRM','The National Silk & Rayon Mills Ltd.','READY',28.98,26.22,27.6
'REG','ALNRS','Al-Noor Sugar Mills Ltd.(XD)(XB)','READY',42.588,38.532,40.56
'REG','FUDLM','First UDL Mod.','READY',16.32,14.32,15.32
