MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','ZELP','Zeal Pak Cement Factory Ltd.','READY',1.44,.01,.44
'REG','PAKT','Pakistan Tobacco Co Ltd.','READY',665.721,602.319,634.02
'REG','CASS','Casspak Industries Ltd.','READY',1.5,.01,.5
'REG','PRL','Pakistan Refinery Ltd.','READY',82.971,75.069,79.02
'REG','CSAP','Crescent Steel & Allied Product.','READY',54.306,49.134,51.72
'REG','ABOT','Abbot Laboratories Pak Ltd.','READY',412.9125,373.5875,393.25
'REG','BUXL','Buxly Paints Ltd.','READY',24.255,21.945,23.1
'REG','ATBA','Atlas Battery Ltd.','READY',404.271,365.769,385.02
'REG','GTYR','General Tyre & Rubber Co.','READY',57.372,51.908,54.64
'REG','GNDL','Ghandhara Nissan Diesel Ltd.',170,1,.01,0
'REG','HINO','Hino Pak Motor Limeted.','READY',322.8855,292.1345,307.51
'REG','INDU','Indus Motor Company Ltd.','READY',399,361,380
'REG','MTL','Millat Tractor Ltd.','READY',488.292,441.788,465.04
'REG','LINDE','Linde Pakistan Limited.','READY',190.0395,171.9405,180.99
'REG','SING','Singer Pakistan Ltd.(XR)','READY',27.5415,24.9185,26.23
'REG','SIEM','Siemens (Pak) Eng. Co. Ltd.(XD)','READY',1385.5905,1253.6295,1319.61
'REG','PANI','Pan Islamic Steamship Co Ltd.','READY',4.95,2.95,3.95
'REG','PIAA','Pakistan International Airline','READY',10.59,8.59,9.59
'REG','MOIL','Morafco Industries','READY',11.25,9.25,10.25
'REG','POML','Punjab Oil Mills Ltd.','READY',139.65,126.35,133
'REG','FIBLM','First IBL Modaraba.','READY',5.45,3.45,4.45
'REG','HKKT','Hakkim Textile Mills Limited','READY',1.5,.01,.5
'REG','MOHE','Mohib Exports Ltd.','READY',1.15,.01,.15
'REG','PMI','First Prudential Mod.','READY',3.48,1.48,2.48
'REG','FIM','First Investec Modarba','READY',1.2,.01,.2
'REG','DLL','Dawood Lawrencepur Ltd.','READY',75.075,67.925,71.5
'REG','FSWL','Fateh Sports Wear Ltd.','READY',21.777,19.703,20.74
'REG','HATM','Hamid Textile Mills Limited','READY',1.97,.01,.97
'REG','TAJT','Taj Textile Mills Ltd.','READY',1.41,.01,.41
'REG','AYZT','Ayaz Textile Mills Ltd.','READY',1.2,.01,.2
'REG','GAIL','Ghani Automobile Industries Ltd.','READY',7.09,5.09,6.09
'REG','SCHT','Schon Textile Ltd.','READY',1.65,.01,.65
'REG','TOWL','Towellers  Ltd.','READY',16,14,15
'REG','ZHCM','Zahur Cotton Mills','READY',1.06,.01,.06
'REG','REWM','Reliance Weaving Mills Ltd.','READY',61.3305,55.4895,58.41
'REG','SDOT','Sadoon Textile Industries Ltd.','READY',1.85,.01,.85
'REG','SMTM','Samin Textiles Ltd.','READY',15.26,13.26,14.26
'REG','SERF','Service Fabrics Ltd.','READY',1.77,.01,.77
'REG','KAKL','Kaisar Arts & Krafts Ltd.','READY',1.55,.01,.55
'REG','MUBT','Mubarak Textile Mills Ltd.','READY',8.13,6.13,7.13
'REG','NML','Nishat Mills Ltd.','READY',141.8655,128.3545,135.11
'REG','DWSM','Dewan Sugar Mills Ltd.','READY',5.19,3.19,4.19
'REG','IBFL','Ibrahim Fibre Limited.','READY',96.726,87.514,92.12
'REG','DBCI','Dadabhoy Cement Industries Ltd','READY',9.17,7.17,8.17
'REG','DADX','Dadex Eternit Ltd.','READY',40.824,36.936,38.88
'REG','POWER','Power cement Limited','READY',8.46,6.46,7.46
'REG','TSBL','Trust Securities & Brokerage.','READY',3.51,1.51,2.51
'REG','GHNL','Ghandhara Nissan Ltd.','READY',21.105,19.095,20.1
'REG','CJPL','Crescent Jute Products Ltd.','READY',4.84,2.84,3.84
'REG','SCBPL','Standard Chartered Bank (Pak) Ltd.','READY',24.9585,22.5815,23.77
'REG','RCML','Reliance Cotton Spinning Mills.','READY',125.4435,113.4965,119.47
'REG','KHTC','Khyber Tobacco Co. Ltd.','READY',251.2125,227.2875,239.25
'REG','PAKMI','First Pak Mod.','READY',4.55,2.55,3.55
'REG','HUMNL','Hum Network Limited.','READY',94.2165,85.2435,89.73
'REG','ISL','International Steels Limited.','READY',23.2785,21.0615,22.17
'REG','UNIC','United Insurance Company.','READY',16.34,14.34,15.34
'REG','JLICL','Jubliee Life Insurance Co Ltd.','READY',189.021,171.019,180.02
'REG','HINOON','Highnoon Laboratories Ltd.','READY',160.0725,144.8275,152.45
'REG','IDRT','Idrees Textile Mills Ltd.','READY',21.525,19.475,20.5
'REG','STCL','Shabbir Tiles & Ceramis.','READY',13.81,11.81,12.81
'REG','MSOT','Masood Textile Mills Ltd.','READY',152.25,137.75,145
'REG','REDCO','Redco Textile Ltd.','READY',7.89,5.89,6.89
'REG','SLCL','Security Leasing Corp.','READY',7.24,5.24,6.24
'REG','TGL','Tariq Glass.','READY',39.921,36.119,38.02
'REG','PICT','Pakistan Int.Container Terminal','READY',272.7375,246.7625,259.75
'REG','EFERT','Engro Fertilizers Limited.','READY',45.969,41.591,43.78
'REG','ELSM','Ellcot Spinning Mills Ltd.','READY',142.7055,129.1145,135.91
'REG','PKGI','Pakistan General Insurance Co.','READY',14,12,13
'REG','NRL','National Refinary Ltd.','READY',217.8855,197.1345,207.51
'REG','PIOC','Pioneer Cement Ltd.','READY',39.4275,35.6725,37.55
'REG','PIBTL','Pakistan International Bulk Terminal Ltd','READY',51.2085,46.3315,48.77
'REG','UDPLR','United Distributors Pakistan(R)','READY',15.75,13.75,14.75
